,mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type
1162,high,11,Motivational Interviewing in Juvenile Justice Settings - 1,https://www.youtube.com/watch?v=M-i6-BNkCTo,reducing recidivism,14,therapist,00:01:03,".Okay, mm-hmm. Well, I'm wondering then if it's okay with you and-and I have a form that we can use if you'd like, um, just to put out some different ideas on an agenda that we could share as we're working together so that I-I can support you to be successful in getting this behind you. Would-would this feel like a natural time to-to move towards figuring out where we might go together?",1,False,,False,,True,open,question,
1229,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,0,therapist,00:00:06,"So, again, I hear your overall goal is really, to not give up these things you'd like but to cut back on how much you have-",4,False,,True,simple,False,,reflection,
1230,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,1,client,00:00:14,"Yeah, I guess so.",4,,,,,,,,change
1231,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,2,therapist,00:00:16,"-on that. All right. So, I'd like to ask you, uh, kind of a scaling question about this 'cause I'm hearing that this feels really important to you that you'd be way up there on the high- on the high end of importance.",4,False,,True,complex,False,,reflection,
1232,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,3,client,00:00:25,Yeah.,4,,,,,,,,change
1233,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,4,therapist,00:00:26,"So, I'm gonna ask the question this way, on a scale of 0 to 10, where 0 is not at all confident, and 10 is like, ""I'm very, very confident,"" where would you put yourself on a scale right now of confidence in starting this new plan?",4,False,,False,,True,open,question,
1234,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,5,client,00:00:42,"Right now, I'm probably-",4,,,,,,,,neutral
1235,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,6,therapist,00:00:42,Mm-hmm.,4,False,,False,,False,,other,
1236,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,7,client,00:00:43,-gonna say a six.,4,,,,,,,,neutral
1237,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,8,therapist,00:00:44,A six.,4,False,,True,simple,False,,reflection,
1238,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,9,client,00:00:44,"But I know when I go home and I see the food, it's probably gonna drop back down to a four.",4,,,,,,,,sustain
1239,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,10,therapist,00:00:50,"Okay. All right. So, let's talk about that, um, so we should just assume we're gonna be at a four.",4,False,,True,simple,False,,reflection,
1240,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,11,client,00:00:56,Right?,4,,,,,,,,neutral
1241,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,12,therapist,00:00:56,Okay?,4,False,,False,,True,closed,question,
1242,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,13,client,00:00:57,I guess.,4,,,,,,,,neutral
1243,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,14,therapist,00:00:57,"So, why are you at a four and not even a lower number? Why are you not like a zero or a one?",4,False,,True,simple,True,open,question,
1244,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,15,client,00:01:17,"Because I've been wanting to do this for-for years, like-",4,,,,,,,,change
1245,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,16,therapist,00:01:21,Okay.,4,False,,False,,False,,other,
1246,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,17,client,00:01:21,-ever since I started becoming conscious of my body.,4,,,,,,,,change
1247,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,18,therapist,00:01:24,Okay.,4,False,,False,,False,,other,
1248,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,19,client,00:01:24,"Like ever since I started being a teen, like this has always been a goal of mine, like, especially 'cause all my friends play soccer, and like-",4,,,,,,,,change
1249,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,20,therapist,00:01:30,Uh-huh.,4,False,,False,,False,,other,
1250,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,21,client,00:01:30,"-hike, and are like super stick-thin but really healthy and active.",4,,,,,,,,change
1251,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,22,therapist,00:01:33,Okay.,4,False,,False,,False,,other,
1252,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,23,client,00:01:34,"And so I'm just sort of like, well, I'm not.",4,,,,,,,,neutral
1253,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,24,therapist,00:01:36,Okay.,4,False,,False,,False,,other,
1254,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,25,client,00:01:36,"But I want to be like-- I don't want to be like stick-thin, but I really want to be like really healthy and really active.",4,,,,,,,,change
1255,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,26,therapist,00:01:41,Okay.,4,False,,False,,False,,other,
1256,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,27,client,00:01:41,"And like be able to look nice, you know.",4,,,,,,,,change
1257,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,28,therapist,00:01:43,"Okay, all right.",4,False,,False,,False,,other,
1258,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,29,client,00:01:43,I wanna be able to look nice.,4,,,,,,,,change
1259,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,30,therapist,00:01:46,"Okay. So, what would help increase that confidence? What-- Because that sounds like where we really need to focus on. What's gonna help you feel more confident about this?",4,False,,False,,True,open,question,
1260,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,31,client,00:01:59,I don't even really know-,4,,,,,,,,neutral
1261,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,32,therapist,00:02:00,Mm-hmm.,4,False,,False,,False,,other,
1262,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,33,client,00:02:01,"-honestly. Like, I mean, I know I'm gonna have to keep like telling myself like-",4,,,,,,,,change
1263,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,34,therapist,00:02:05,Mm-hmm.,4,False,,False,,False,,other,
1264,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,35,client,00:02:06,-like this is something that you want- that you've wanted-,4,,,,,,,,change
1265,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,36,therapist,00:02:07,Uh-huh.,4,False,,False,,False,,other,
1266,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,37,client,00:02:07,-for years.,4,,,,,,,,change
1267,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,38,therapist,00:02:08,Uh-huh.,4,False,,False,,False,,other,
1268,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,39,client,00:02:08,"Like, you can do it. Because like-",4,,,,,,,,change
1269,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,40,therapist,00:02:10,Okay.,4,False,,False,,False,,other,
1270,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,41,client,00:02:11,I know I can do it. Like I can do anything.,4,,,,,,,,change
1271,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,42,therapist,00:02:13,All right.,4,False,,False,,False,,other,
1272,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,43,client,00:02:13,I can do anything-,4,,,,,,,,change
1273,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,44,therapist,00:02:14,All right.,4,False,,False,,False,,other,
1274,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,45,client,00:02:14,-I know that. But it's hard getting to the point where I-,4,,,,,,,,sustain
1275,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,46,therapist,00:02:25,Okay.,4,False,,False,,False,,other,
1276,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,47,client,00:02:25,-do something.,4,,,,,,,,sustain
1277,high,14,Motivational Interviewing (MI): Building Confidence Video,https://www.youtube.com/watch?v=Cfl4d-qQ-co,weight loss,48,therapist,00:02:26,"All right. Well, if it's okay, just for a moment, let's put the- let's put the changing the eating pattern off to the side, and let's take a look at some other time in your life that there was something you really wanted to accomplish and you did. And what is it about you- what was it about you? What kind of strengths did you bring to the table that allowed you to tackle something that felt like a challenge and-and allowed you to be successful?",4,True,negotiation,False,,True,open,question,
1941,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,0,therapist,00:00:14,"Hey, can I help you?",9,False,,False,,True,closed,question,
1942,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,1,client,00:00:15,"Yeah, I hope so. Um, my workplace has just gone smoke-free. I-I'm not-not very happy about it. I'm gonna keep smoking, but I was wondering if there's anything that-that can help me like get through the day. It's like, you know, go get my beer and smoke cigarettes after work.",9,,,,,,,,sustain
1943,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,2,therapist,00:00:33,"So your workplaces went smoke-free and you're not too pleased, huh?",9,False,,True,simple,True,closed,reflection,
1944,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,3,client,00:00:36,"No. I'm not gonna quit smoking. I mean, I like it. It helps me relax. So, I mean, I don't see what the big deal is.",9,,,,,,,,sustain
1945,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,4,therapist,00:00:44,Okay. Tell me a little bit about how smoking fits in your day. It'll help with the—,9,False,,False,,True,open,question,
1946,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,5,client,00:00:49,"I mean, I smoke a little less than a pack a day. It's not too bad. Um, I've probably smoked for the last five years, but I-I-I mean, could quit if I wanted to, but I don't really want to right now.",9,,,,,,,,sustain
1947,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,6,therapist,00:01:01,"Okay. So you feel like, right now, smoking's a pretty important part of your life. It's not something you're ready to change, but if the time came when you did decide to quit, you feel pretty confident that you could go ahead and do that.",9,False,,True,complex,False,,reflection,
1948,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,7,client,00:01:13,Sure. I can quit.,9,,,,,,,,change
1949,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,8,therapist,00:01:14,Okay. What makes you so confident?,9,False,,False,,True,open,question,
1950,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,9,client,00:01:16,"Well, I mean, I don't see why I couldn't, I-- although I have not ever tried to quit, it's just something that I do for fun, you know, on breaks at work, in the morning, and after work.",9,,,,,,,,sustain
1951,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,10,therapist,00:01:30,"Mm-hmm. And so in terms of, uh, uh, readiness to actually go ahead and make a quit attempt, where do you think you fall on the scale of 1 to 10, where one is, I'm not considering it at all, and 10 is, I'm definitely ready, I wanna quit.",9,False,,False,,True,closed,question,
1952,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,11,client,00:01:42,"I am probably a two. I-I haven't even thought about quitting and until this great announcement at work today, I- I'm totally not gonna quit smoking.",9,,,,,,,,sustain
1953,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,12,therapist,00:01:49,Okay. What made you say two instead of one?,9,False,,False,,True,open,question,
1954,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,13,client,00:01:53,"Well, I mean, anything's possible. I mean, I-I guess I could maybe be convinced. Yeah. Is there some-- I mean, are there things I can try that would make me like want to quit smoking?",9,,,,,,,,change
1955,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,14,therapist,00:02:04,"Well, there are a lot of products available now that can actually help you curb that urge to smoke. We have products that can help to replace nicotine, which can help to decrease withdrawal symptoms that you might experience when quitting or cutting down and also some medications that your doctor could prescribe for you that might take away even some of the desire to smoke.",9,True,options,False,,False,,therapist_input,
1956,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,15,client,00:02:24,"Okay. Well, that’s good information. I mean, I'm not gonna do anything today. I just need to know my options, but that's encouraging. If I decided to quit smoking, I-I do have at least tools to help me.",9,,,,,,,,sustain
1957,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,16,therapist,00:02:36,"Sure. And back to that scale, you mentioned, you said you were a two. What do you think it would take to move you up to a four or five?",9,False,,False,,True,open,question,
1958,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,17,client,00:02:43,"I don't know. I guess if my friends, like if one of my friends decided to like quit with me, that would probably help too, but I-- all my friends love to smoke, so I don't see that happening in the near future.",9,,,,,,,,sustain
1959,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,18,therapist,00:02:54,"Sure. I wonder if now that your workplace is going smoke-free, if there will be some people at work who planning to quit.",9,False,,False,,True,open,question,
1960,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,19,client,00:02:59,That's a good point. I hadn't really thought about that. That-that's a good idea. Yeah.,9,,,,,,,,change
1961,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,20,therapist,00:03:04,"Okay. Well, it sounds like you're really here just for information today. I'm happy to help you pick out some of these products if and when you decide that the time is right for you.",9,True,negotiation,False,,False,,therapist_input,
1962,high,24,The Effective Pharmacist: Motivational Interviewing Demonstration,https://www.youtube.com/watch?v=5UU63mfNnD4,smoking cessation ,21,client,00:03:13,"Okay. Well, thanks a lot.",9,,,,,,,,neutral
1963,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,0,therapist,00:00:01,"So, Liz, what's something that you'd like to change or maybe that you're feeling two ways about right now?",1,False,,False,,True,open,question,
1964,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,1,client,00:00:06,"Um, I really want to start working out again. Definitely wanna get back in it, have a routine, and just be healthy.",1,,,,,,,,change
1965,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,2,therapist,00:00:13,"Okay, and-and why would you want to make this change?",1,False,,False,,True,open,question,
1966,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,3,client,00:00:17,"Um, I'm sick of feeling the way I do. I feel kinda sluggish. Especially with the winter coming, I think I want to have more energy.",1,,,,,,,,change
1967,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,4,therapist,00:00:27,Mm-hmm.,1,False,,False,,False,,other,
1968,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,5,client,00:00:28,"Um, I don't like the way my clothes fit or don't fit me.",1,,,,,,,,change
1969,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,6,therapist,00:00:31,Mm-hmm.,1,False,,False,,False,,other,
1970,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,7,client,00:00:32,"Just, I don't feel comfortable.",1,,,,,,,,change
1971,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,8,therapist,00:00:33,"Yeah. So, you're not feeling comfortable with the way that, you said, your clothes fit.",1,False,,True,simple,False,,reflection,
1972,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,9,client,00:00:38,Mm-hmm.,1,,,,,,,,neutral
1973,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,10,therapist,00:00:38,"What are some of the reasons why, um, it would be good for you to kinda make this change?",1,False,,False,,True,open,question,
1974,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,11,client,00:00:43,"Um, I know exercise is-- in the past, has always made me feel good. I felt good about myself, and just in general, exercise, I know, makes me feel good. I want to be a good example for my kids. I want them to feel like that's a part of life-",1,,,,,,,,change
1975,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,12,therapist,00:00:57,Mm-hmm.,1,False,,False,,False,,other,
1976,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,13,client,00:00:57,"-exercising. So, I want-- I really just want to go get back in a routine.",1,,,,,,,,change
1977,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,14,therapist,00:01:01,"So, to heal-- feel healthy for yourself as well be a good role model for your kids?",1,False,,True,simple,False,,reflection,
1978,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,15,client,00:01:06,Yeah.,1,,,,,,,,neutral
1979,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,16,therapist,00:01:07,"So, if you did decide to get exercising more into your daily routine, how would you go about doing it?",1,False,,False,,True,open,question,
1980,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,17,client,00:01:14,"Um, I don't know. I'd probably have to sit down maybe with my husband and try to figure out a good time for me to be able to do that, where he'd be home with the kids and I'd be going to do that, whether it's morning-time, evening, maybe the weekends.",1,,,,,,,,change
1981,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,18,therapist,00:01:28,Mm-hmm.,1,False,,False,,False,,other,
1982,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,19,client,00:01:29,"Just to find the time to be able to do it, or what works in our schedule.",1,,,,,,,,change
1983,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,20,therapist,00:01:33,"So, it's that balance of doing something for yourself, but it sounds like you don't want that schedule to affect too much into your family routine.",1,False,,True,simple,False,,reflection,
1984,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,21,client,00:01:40,"Right, yeah.",1,,,,,,,,change
1985,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,22,therapist,00:01:42,"So, on a scale from 1 to 10, 1 being not important and 10 being very important, where would you rate yourself on how important it is to start exercising more?",1,False,,False,,True,closed,question,
1986,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,23,client,00:01:52,"Mm, I would like to say a seven or an eight, that that's how important it is to me.",1,,,,,,,,neutral
1987,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,24,therapist,00:02:01,"Okay, and how come not at like a five or a six?",1,False,,False,,True,open,question,
1988,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,25,client,00:02:05,Because I'm really sick of being overweight.,1,,,,,,,,change
1989,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,26,therapist,00:02:10,Mm-hmm.,1,False,,False,,False,,other,
1990,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,27,client,00:02:11,"Not ha-- I just don't like being unhealthy. It doesn't make me feel good, so I'm motivated to change, it's just getting there.",1,,,,,,,,change
1991,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,28,therapist,00:02:20,"So, to summarize, it's important for you to do this. You're starting to feel sluggish, you're not feeling healthy, and you know that you've got other people in your family watching you, and you want to be a good role model for them to know that this is gonna be just a part of your life, is your exercise. Yet for you, you're struggling just a little with the logistics of when to schedule time for you so it doesn't interfere too much with your family.",1,False,,True,simple,False,,reflection,
1992,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,29,client,00:02:43,"Exactly, yeah.",1,,,,,,,,neutral
1993,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,30,therapist,00:02:44,"So, knowing this, what do you think you'll do next?",1,True,negotiation,False,,True,open,question,
1994,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,31,client,00:02:50,"Mm, I'll probably, I don't know, find-- Now, while it's still somewhat okay outside, maybe pick days I'm gonna go for walks or runs, um, maybe look for a gym close to the house so that I know I can go there quickly or maybe that has daycare, um, yeah, maybe I'll just start to look for that, and find ways I can do it first.",1,,,,,,,,change
1995,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,32,therapist,00:03:16,That's great. It sounds like you've got some options and leads on how- on how to get that done.,1,False,,True,simple,False,,reflection,
1996,high,25,MI-Good Example,https://www.youtube.com/watch?v=SbuuFaH4FuE,weight loss,33,client,00:03:20,Yeah.,1,,,,,,,,neutral
